id,abstract,data_split,pmid,pmcid,title,intervention_treatment,primary_outcome,primary_outcome_result,note
28,"ABSTRACT.
Acute administration of the primary psychoactive constituent of cannabis, Δ-9-tetrahydrocannabinol (THC), impairs human facial affect recognition, implicating the endocannabinoid system in emotional processing. Another main constituent of cannabis, cannabidiol (CBD), has seemingly opposite functional effects on the brain. This study aimed to determine the effects of THC and CBD, both alone and in combination on emotional facial affect recognition. 48 volunteers, selected for high and low frequency of cannabis use and schizotypy, were administered, THC (8 mg), CBD (16 mg), THC+CBD (8 mg+16 mg) and placebo, by inhalation, in a 4-way, double-blind, placebo-controlled crossover design. They completed an emotional facial affect recognition task including fearful, angry, happy, sad, surprise and disgust faces varying in intensity from 20% to 100%. A visual analogue scale (VAS) of feeling 'stoned' was also completed. In comparison to placebo, CBD improved emotional facial affect recognition at 60% emotional intensity; THC was detrimental to the recognition of ambiguous faces of 40% intensity. The combination of THC+CBD produced no impairment. Relative to placebo, both THC alone and combined THC+CBD equally increased feelings of being 'stoned'. CBD did not influence feelings of 'stoned'. No effects of frequency of use or schizotypy were found. In conclusion, CBD improves recognition of emotional facial affect and attenuates the impairment induced by THC. This is the first human study examining the effects of different cannabinoids on emotional processing. It provides preliminary evidence that different pharmacological agents acting upon the endocannabinoid system can both improve and impair recognition of emotional faces.",TEST,25534187,4398332,"Acute effects of delta-9-tetrahydrocannabinol, cannabidiol and their combination on facial emotion recognition: a randomised, double-blind, placebo-controlled study in cannabis users.",,,,
29,"ABSTRACT.
The physiologic stress induced by physical activity is reflected in immune system perturbations, oxidative stress, muscle injury, and inflammation. We investigated the effect of astaxanthin (Asx) supplementation on salivary IgA (sIgA) and oxidative stress status in plasma, along with changes in biochemical parameters and total/differential white cell counts. Forty trained male soccer players were randomly assigned to Asx and placebo groups. Asx group was supplemented with 4 mg of Asx. Saliva and blood samples were collected at the baseline and after 90 days of supplementation in preexercise conditions. We observed a rise of sIgA levels at rest after 90 days of Asx supplementation, which was accompanied with a decrease in prooxidant-antioxidant balance. The plasma muscle enzymes levels were reduced significantly by Asx supplementation and by regular training. The increase in neutrophil count and hs-CRP level was found only in placebo group, indicating a significant blunting of the systemic inflammatory response in the subjects taking Asx. This study indicates that Asx supplementation improves sIgA response and attenuates muscle damage, thus preventing inflammation induced by rigorous physical training. Our findings also point that Asx could show significant physiologic modulation in individuals with mucosal immunity impairment or under conditions of increased oxidative stress and inflammation.",TEST,26167194,4488551,"Effect of Astaxanthin Supplementation on Salivary IgA, Oxidative Stress, and Inflammation in Young Soccer Players.",,,,
30,"ABSTRACT.BACKGROUND AND AIMS:.
This study aimed to determine whether a separate written consent form improved the efficacy of the informed consent process for anesthesia in adult patients undergoing elective surgery at a tertiary care teaching hospital.

ABSTRACT.MATERIAL AND METHODS:.
We randomized patients into two groups prospectively. The first group (Group A) signed the hospital's standard Consent for Operation form only while the second group (Group B) signed a separate Consent for Anesthesia form additionally. Patients were interviewed postoperatively with an eight-item questionnaire with responses in a 5-point Likert scale. A composite adequacy of consent index was generated from the responses and analyzed.

ABSTRACT.RESULTS:.
Two hundred patients (100 in each group) were studied. All patients indicated that the anesthesiologist(s) had their permission to proceed with their anesthesia care. The mean adequacy of consent index score in Group B was higher than that of Group A (30.6 ± 4.6 [standard deviation (SD)] vs. 27.9 ± 5.2 [SD]) (P &lt; 0.001). The separate written consent had a positive impact on the patients' understanding of the nature and purpose of the intended anesthesia procedures (P = 0.04), satisfaction with the adequacy of information provided about common side effects (P &lt; 0.001) and rare but serious complications (P = 0.008).

ABSTRACT.CONCLUSIONS:.
A separate written consent for anesthesia improved the efficacy of the informed consent process with respect to better information about the nature and purpose of anesthesia, common side effects, and rare but serious complications.",DEV,27006535,4784207,Efficacy of a separate informed consent for anesthesia services: A prospective study from the Caribbean.,additional Consent for Anesthesia form,adequacy of consent index score,significant difference favoring intervention,
31,"ABSTRACT.
Objective: Computerized cognitive-bias modification (CBM) protocols are rapidly evolving in experimental medicine yet might best be combined with Internet-based cognitive behavioral therapy (iCBT). No research to date has evaluated the combined approach in depression. The current randomized controlled trial aimed to evaluate both the independent effects of a CBM protocol targeting imagery and interpretation bias (CBM-I) and the combined effects of CBM-I followed by iCBT. Method: Patients diagnosed with a major depressive episode were randomized to an 11-week intervention (1 week/CBM-I + 10 weeks/iCBT; n = 38) that was delivered via the Internet with no face-to-face patient contact or to a wait-list control (WLC; n = 31). Results: Intent-to-treat marginal models using restricted maximum likelihood estimation demonstrated significant reductions in primary measures of depressive symptoms and distress corresponding to medium-large effect sizes (Cohen's d = 0.62–2.40) following CBM-I and the combined (CBM-I + iCBT) intervention. Analyses demonstrated that the change in interpretation bias at least partially mediated the reduction in depression symptoms following CBM-I. Treatment superiority over the WLC was also evident on all outcome measures at both time points (Hedges gs = .59–.98). Significant reductions were also observed following the combined intervention on secondary measures associated with depression: disability, anxiety, and repetitive negative thinking (Cohen's d = 1.51–2.23). Twenty-seven percent of patients evidenced clinically significant change following CBM-I, and this proportion increased to 65% following the combined intervention. Conclusions: The current study provides encouraging results of the integration of Internet-based technologies into an efficacious and acceptable form of treatment delivery.",TEST,23750459,3780629,Combining imagination and reason in the treatment of depression: a randomized controlled trial of internet-based cognitive-bias modification and internet-CBT for depression.,,,,
32,"ABSTRACT.BACKGROUND:.
Intra-articular analgesia is a pain reliever that is frequently administered following arthroscopic knee surgery.

ABSTRACT.OBJECTIVES:.
The purpose of this study was to compare the efficacy of intra-articular application of morphine and tramadol on postoperative pain after arthroscopic knee surgery.

ABSTRACT.PATIENTS AND METHODS:.
For this randomized double blinded clinical trial, 132 patients undergoing minor arthroscopic knee surgery were randomly assigned to receive either; 5 mg morphine or 50 mg tramadol intra-articularly. Pain was evaluated by means of the verbal pain rating score (VRS) preoperatively (at rest and on movement of the knee joint) and postoperatively at 0, 1, 2, 3, 4, 6, 12 and 24 hours. Meanwhile, the time of the first analgesic request and need for supplemental analgesic were also recorded.

ABSTRACT.RESULTS:.
There was no statistically significant difference in VRS scoring between the two groups during the preoperative period either at rest or on knee movement. Meanwhile, VRS scores did not differ significantly between the morphine and tramadol treated groups postoperatively, except for in the one-hour post-operative scores in which the tramadol-treated group experienced less pain (P &lt; 0.007). Post-operative VRS scores at 6, 12, and 24 hours were significantly decreased when compared with previous scores in both morphine and tramadol prescribed subjects (P &lt; 0.001), hence, both local analgesics can significantly reduce pain after minor knee surgery.

ABSTRACT.CONCLUSIONS:.
We have found a postoperative analgesic effect of intra-articularly administered morphine and tramadol following minor arthroscopic knee surgeries with a maximum effect 6 hours post injection.",TEST,24223330,3821103,Comparing the efficacy of intra-articular application of morphine and tramadol on postoperative pain after arthroscopic knee surgery.,,,,
33,"ABSTRACT.BACKGROUND:
 To determine the effects of probiotic yogurt on performance and health status of young adultfemale endurance swimmers.

ABSTRACT.METHODS:
 In a randomized controlled trial, 46 endurance swimmers girls with mean age of 13.8 ±1.8 years,weight of 48.6±7.5kg and height of 159±5.6cm, were studied. Subjects were randomly assigned into two groups,receiving either 400 ml probiotic yogurt (intervention group) or ordinary yogurt (control group) daily for 8weeks. At the beginning and at the end of the study, the 400-m free swimming record was done and the HarvardStep test was employed to measure VO2max. Statistical analysis of the data was performed using SPSS software.This trial has been registered with IRCT ID of IRCT2012122311849N1.

ABSTRACT.RESULTS:
 Average changes in the records of the intervention and control groups were 3.9 and 0.5 seconds, respectively(p= 0.22). The intervention group complained of dyspnea for 2.4 days and the value for the controlwas 4.4 days (p=0.024). Values for ear pain were 0.5 and 1.6 days (p=0.008) respectively. The average numberof episodes of respiratory infection in the intervention group was 0.9 day, which was statistically fewer than thatin the control group (1.4 days), P=0.009.

ABSTRACT.CONCLUSIONS:
 A reduction in the number of episodes of respiratory infections and duration of some symptomssuch as dyspnea and ear pain was observed. Due to the reduction in upper respiratory tract infections of theathletes following intake of probiotic yogurt, improvement in VO2max is possible.",TEST,24791124,3917487,"Effects of probiotic yogurt on performance, respiratory and digestive systems of young adult female endurance swimmers: a randomized controlled trial.",,,,
34,"ABSTRACT.BACKGROUND.
Aging-related reduced spinal mobility can interfere with the execution of important functional skills and activities in elderly women. Although several studies have shown positive outcomes in response to spinal flexibility training programs, little is known about the management of sets and repetitions in training protocols. The purpose of this study was to investigate the effects of an 8-week specific and standardized flexibility training program on the range of spinal motion in elderly women.

ABSTRACT.METHODS.
Participants were recruited in a senior center of Palermo and randomly assigned in two groups: trained group (TG) and control group (CG), which included 19 and 18 women, respectively. TG was trained for 8 weeks at two sessions/week. In particular, every session included three phases: warm up (~10 minutes), central period (~50 minutes), and cool down (~10 minutes). CG did not perform any physical activity during the experimental period. Spinal ranges of motion (ROM) were measured from neutral standing position to maximum bending position and from neutral standing position to maximum extension position before and after the experimental period, using a SpinalMouse® device (Idiag, Volkerswill, Switzerland).

ABSTRACT.RESULTS.
After the training period, TG showed an increase in spinal inclination by 16.4% (P&lt;0.05), in sacral/hip ROM by 29.2% (P&lt;0.05), and in thoracic ROM by 22.5% (P&gt;0.05) compared with CG from maximum extension position to maximum bending position. We did not observe any significant difference in TG's lumbar ROM compared with CG after the training period (P&gt;0.05).

ABSTRACT.CONCLUSION.
We found that an 8-week flexibility training program improved ROMs of the spine in elderly women. The training protocol appeared to be practicable for active elderly people with autonomy and the capability for self-care.",TEST,24748783,3990364,Changes in spinal range of motion after a flexibility training program in elderly women.,,,,
35,"ABSTRACT.BACKGROUND.
Administration of normal saline might increase circulating levels of pro-inflammatory cytokines and may cause variation of plasmatic electrolytic and hyperchloremic acidosis, which in turn can impair renal function. Hence the use of balanced solutions could influence the inflammatory cascade triggered by the surgical procedures, the plasmatic electrolyte concentration, the acid–base equilibrium, and the renal function.

ABSTRACT.METHODS.
This is a double blind randomized trial. Forty patients undergoing major abdominal surgery (bowel cancer) were allocated in two groups, the balanced solution (BS) group in which the fluids administered were balanced solutions (colloids and crystalloids); and the unbalanced solution (UBS) group in which the fluids administered were unbalanced solutions (colloids and crystalloids). Measurements were performed after anaesthesia induction (T0), at the end of surgery (T1), within 2 h after surgery (T2) and 24 h after the beginning of surgery (T3). The following data were collected: 1) active matrix metalloproteinase 9 (MMP-9) and its tissue inhibitor (TIMP-1), IL-6, IL-8, IL-10; 2) blood gases variables; 3) electrolytes, albumin, total serum protein and the strong ion difference; 4) neutrophil gelatinase-associated lipocalin (NGAL) from urinary sample.

ABSTRACT.RESULTS.
The BS group exhibited higher circulating level of IL-10 and TIMP-1 and lower level of active MMP-9. The UBS group experienced hypercloremia, hypocalcemia, hypomagnesemia, worse acid–base equilibrium and higher level of NGAL.

ABSTRACT.CONCLUSIONS.
The use of balanced solutions was responsible of less alteration of plasmatic electrolytes, acid–base equilibrium, kidney function and it might be associated with an early anti-inflammatory mechanisms triggering.

ABSTRACT.TRIAL REGISTRATION.
ClinicalTrials.gov (Ref: NCT01320891).",TEST,24059479,4015738,"Effects of two different strategies of fluid administration on inflammatory mediators, plasma electrolytes and acid/base disorders in patients undergoing major abdominal surgery: a randomized double blind study.",,,,
36,"ABSTRACT.BACKGROUND.
A population of breast cancer patients exists who, for various reasons, never received adjuvant post-operative tamoxifen (TAM). This study was aimed to evaluate the role of late TAM in these patients.

ABSTRACT.METHODS.
From 1997 to 2003, patients aged 35 to 75 years, operated more than 2 years previously for monolateral breast cancer without adjuvant TAM, with no signs of metastases and no contraindication to TAM were randomized to TAM 20 mg/day orally for 2 years or follow-up alone. Events were categorized as locoregional relapse, distant metastases, metachronous breast cancer, tumours other than breast cancer and death from any causes, whichever occurred first. The sample size (197 patients per arm, plus 10% allowance) was based on the assumption of a 30% decrease in the number of events occurring at a rate of 5% annually in the 10 years following randomization. Four hundred and thirty-three patients were randomized in the study (TAM 217, follow-up 216). Patients characteristics (TAM/follow-up) included: median age 55/55 years, median time from surgery 25/25 months (range, 25-288/25-294), in situ carcinoma 18/24, oestrogen receptor (ER) positive in 75/68, negative in 70/57, unknown in 72/91 patients. Previous adjuvant treatment included chemotherapy in 131/120 and an LHRH analogue in 11/13 patients.

ABSTRACT.RESULTS.
Thirty-six patients prematurely discontinued TAM after a median of 1 month, mostly because of subjective intolerance. Eighty-three events (TAM 39, follow-up 44) occurred: locoregional relapse in 10/8, distant metastases in 14/16, metachronous breast cancer in 4/10, other tumours in 11/10 patients. Less ER-positive secondary breast cancers occurred in the TAM treated patients than in follow-up patients (1 vs 10, p = 0.005). Event-free survival was similar in both groups of patients.

ABSTRACT.CONCLUSIONS.
This 5-year analysis revealed significantly less metachronous ER-positive breast cancers in the TAM treated patients. No other statistically significant differences have emerged thus far.",TEST,20470379,2882922,Late tamoxifen in patients previously operated for breast cancer without postoperative tamoxifen: 5-year results of a single institution randomised study.,,,,
37,"ABSTRACT.BACKGROUND.
This study was designed to determine whether small diameter needles for oocyte retrieval alter oocyte yields in patients undergoing IVF in comparison to standard large diameter needles.

ABSTRACT.METHODS.
We conducted a prospective pilot study of 21 consecutive favorable prognosis patients. In each patient one ovary was randomly allocated to retrieval with either a 20 G/ 35 mm (thin) or 17 G/ 35 mm (standard) needle, the other ovary was then retrieved with the opposite needle.

ABSTRACT.RESULTS.
The standard diameter needle was used to collect a total of 215 oocytes from 355 aspirated follicles (60.6%) compared to 203 oocytes from 352 aspirated follicles (57.7%) with the thinner needle (p = 0.23). Stratifying outcomes by anti-Müllerian hormone (AMH), as indicator of ovarian reserve, and by body mass index (BMI) the oocyte yields, still, did not differ (AMH, r (17) = −0.20, p = 0.44; BMI, r (17) =0.02, p = 0.96). Outcomes also did not vary among women with diminished ovarian reserve (p = 0.17) and in women with normal ovarian reserve (p = 1.00). Operating time was, however, significantly increased by 3.3 minutes per ovary (z = −3.08, p = 0.002) with the thinner needle.

ABSTRACT.CONCLUSIONS.
Needle diameter does not affect oocyte yield, including in obese patients and patients with diminished ovarian reserve. Thinner needles appear to significantly prolong operating time.",TEST,23510450,3620559,A pilot trial of large versus small diameter needles for oocyte retrieval.,,,,
38,"ABSTRACT.BACKGROUND.
The present studies evaluated the effects of cryoprotectants, the vitrification procedure and time in the warming solution containing sucrose on cleavage and embryo development of immature (GV stage) bovine cumulus-oocyte complexes (COCs).

ABSTRACT.METHODS.
Two experiments were conducted. In Experiment 1, COCs (n = 420) were randomly assigned to four groups: 1) Control group: no treatment; 2) VS1 group: COCs were exposed to vitrification solution 1 (VS1) containing 7.5% ethylene glycol [EG] + 7.5% dimethyl sulfoxide [DMSO] + 20% calf serum [CS] in TCM-199 at 37 C for 5 min; 3) VS1 + VS2 group: COCs were exposed to VS1 for 5 min followed by VS2 (15% EG + 15% DMSO + 17.1% sucrose + 20% CS) at 37 C for 45–60 sec; and 4) Vitrified group: COCs were exposed to VS1 and VS2, loaded on cryotops, vitrified in liquid nitrogen and then warmed in TCM-199 + 17.1% sucrose + 20% CS at 37 C for 1 min. In Experiment 2, COCs (n = 581) were assigned to the same groups, but those in VS1, VS1 + VS2 and Vitrified groups were sub-divided and exposed to the warming solution for either 1 or 5 min. After treatment and/or warming, all COCs in both experiments underwent in vitro maturation, in vitro fertilization and in vitro culture.

ABSTRACT.RESULTS.
Cleavage and blastocyst rates did not differ among Control, VS1 and VS1 + VS2 groups in either experiment. In Experiment 2, there was no effect of time in the warming solution.  However, both cleavage and blastocyst rates were lower (P &lt; 0.001) in the Vitrified group than in the Control, VS1 and VS1 + VS2 groups (40.9 and 1.6% vs 92.2 and 34.4%, 79.4 and 25.2%, and 80.2 and 20.8%, respectively in Experiment 1, and 25.0 and 1.7% vs 75.3 and 27.2%, 67.9 and 19.5%, and 62.7 and 22.5%, respectively in Experiment 2).

ABSTRACT.CONCLUSIONS.
The permeating cryoprotectants (EG and DMSO) present in VS1 and VS2 solutions and the time in the warming solution containing sucrose had no adverse effects on cleavage and blastocyst rates of immature bovine COCs. However, cleavage rate and early embryo development were reduced following the vitrification and warming.",DEV,22954348,3814649,"Vitrification of immature bovine cumulus-oocyte complexes: effects of cryoprotectants, the vitrification procedure and warming time on cleavage and embryo development.","exposure to vitrification solution 1 (VS1) containing 7.5% ethylene glycol [EG] + 7.5% dimethyl sulfoxide [DMSO] + 20% calf serum [CS] in TCM-199 at 37 C for 5 min, exposure to VS1 for 5 min followed by VS2 (15% EG + 15% DMSO + 17.1% sucrose + 20% CS) at 37 C for 45~60 sec, or exposure to VS1 and VS2, loaded on cryotops, vitrified in liquid nitrogen and then warmed in TCM-199 + 17.1% sucrose + 20% CS at 37 C for 1 min",cleavage and blastocyst rates,significant difference favoring intervention,
39,"ABSTRACT.OBJECTIVE:.
To determine whether droxidopa, an oral norepinephrine precursor, improves symptomatic neurogenic orthostatic hypotension (nOH).

ABSTRACT.METHODS:.
Patients with symptomatic nOH due to Parkinson disease, multiple system atrophy, pure autonomic failure, or nondiabetic autonomic neuropathy underwent open-label droxidopa dose optimization (100–600 mg 3 times daily), followed, in responders, by 7-day washout and then a 7-day double-blind trial of droxidopa vs placebo. Outcome measures included patient self-ratings on the Orthostatic Hypotension Questionnaire (OHQ), a validated, nOH-specific tool that assesses symptom severity and symptom impact on daily activities.

ABSTRACT.RESULTS:.
From randomization to endpoint (n = 162), improvement in mean OHQ composite score favored droxidopa over placebo by 0.90 units (p = 0.003). Improvement in OHQ symptom subscore favored droxidopa by 0.73 units (p = 0.010), with maximum change in ""dizziness/lightheadedness."" Improvement in symptom-impact subscore favored droxidopa by 1.06 units (p = 0.003), with maximum change for ""standing a long time."" Mean standing systolic blood pressure (BP) increased by 11.2 vs 3.9 mm Hg (p &lt; 0.001), and mean supine systolic BP by 7.6 vs 0.8 mm Hg (p &lt; 0.001). At endpoint, supine systolic BP &gt;180 mm Hg was observed in 4.9% of droxidopa and 2.5% of placebo recipients. Adverse events reported in ≥3% of double-blind droxidopa recipients were headache (7.4%) and dizziness (3.7%). No patients discontinued double-blind treatment because of adverse events.

ABSTRACT.CONCLUSIONS:.
In patients with symptomatic nOH, droxidopa improved symptoms and symptom impact on daily activities, with an associated increase in standing systolic BP, and was generally well tolerated.

ABSTRACT.CLASSIFICATION OF EVIDENCE:.
This study provides Class I evidence that in patients with symptomatic nOH who respond to open-label droxidopa, droxidopa improves subjective and objective manifestation of nOH at 7 days.",TEST,24944260,4115605,"Droxidopa for neurogenic orthostatic hypotension: a randomized, placebo-controlled, phase 3 trial.",,,,
40,"ABSTRACT.BACKGROUND.
Dexmedetomidine is a useful sedative drug with various uses. We designed this study to investigate the clinical effects and complications of different loading doses, 0.5 and 1.0 μg/kg.

ABSTRACT.METHODS.
Forty six patients, of American Society of Anesthesiologists physical status I and II, who required elective and emergency operation under spinal anesthesia were randomly assigned to group L or group H. Group L received a loading dose of 0.5 μg/kg for 10 minutes while group H received 1.0 μg/kg. Bispectral index (BIS), systolic blood pressure, heart rate, and Ramsay score were recorded at T0 (before loading), TL (just after loading) and T10, 20, 30 (10, 20, 30 minutes after TL). Complications, drug use, lowest BIS and time to reach BIS 80 after termination of dexmedetomidine were recorded during this study.

ABSTRACT.RESULTS.
In group H, BIS value decreased significantly after TL compared to the baseline (T0), while in group L after T10. Between two groups, BIS values showed a significant differences only at T10, BIS of group H was lower than that of group L. Ramsay score showed no significant differences except in TL; the score of group L was significantly lower than that of group H. Other vital signs and complications showed a minimal differences between two groups.

ABSTRACT.CONCLUSIONS.
Higher loading dose (1.0 μg/kg) of dexmedetomidine can lead to faster sedation without any severe complications.",TEST,25097732,4121500,The effects of different loading doses of dexmedetomidine on sedation.,,,,
41,"ABSTRACT.BACKGROUND:
Sacroiliac (SI) joint pain is a prevalent, underdiagnosed cause of lower back pain. SI joint fusion can relieve pain and improve quality of life in patients who have failed nonoperative care. To date, no study has concurrently compared surgical and non-surgical treatments for chronic SI joint dysfunction.

ABSTRACT.METHODS:
We conducted a prospective randomized controlled trial of 148 subjects with SI joint dysfunction due to degenerative sacroiliitis or sacroiliac joint disruptions who were assigned to either minimally invasive SI joint fusion with triangular titanium implants (N=102) or non-surgical management (NSM, n=46). SI joint pain scores, Oswestry Disability Index (ODI), Short-Form 36 (SF-36) and EuroQol-5D (EQ-5D) were collected at baseline and at 1, 3 and 6 months after treatment commencement. Six-month success rates, defined as the proportion of treated subjects with a 20-mm improvement in SI joint pain in the absence of severe device-related or neurologic SI joint-related adverse events or surgical revision, were compared using Bayesian methods.

ABSTRACT.RESULTS:
Subjects (mean age 51, 70% women) were highly debilitated at baseline (mean SI joint VAS pain score 82, mean ODI score 62). Six-month follow-up was obtained in 97.3%. By 6 months, success rates were 81.4% in the surgical group vs. 23.9% in the NSM group (difference of 56.6%, 95% posterior credible interval 41.4-70.0%, posterior probability of superiority &gt;0.999). Clinically important (≥15 point) ODI improvement at 6 months occurred in 75% of surgery subjects vs. 27.3% of NSM subjects. At six months, quality of life improved more in the surgery group and satisfaction rates were high. The mean number of adverse events in the first six months was slightly higher in the surgical group compared to the non-surgical group (1.3 vs. 1.0 events per subject, p=0.1857).

ABSTRACT.CONCLUSIONS:
Six-month follow-up from this level 1 study showed that minimally invasive SI joint fusion using triangular titanium implants was more effective than non-surgical management in relieving pain, improving function and improving quality of life in patients with SI joint dysfunction due to degenerative sacroiliitis or SI joint disruptions.

ABSTRACT.CLINICAL RELEVANCE:
Minimally invasive SI joint fusion is an acceptable option for patients with chronic SI joint dysfunction due to degenerative sacroiliitis and sacroiliac joint disruptions unresponsive to non-surgical treatments.",TEST,25785242,4360612,Sacroiliac Joint Fusion Using Triangular Titanium Implants vs. Non-Surgical Management: Six-Month Outcomes from a Prospective Randomized Controlled Trial.,,,,
42,"ABSTRACT.
Step-reduction (SR) in older adults results in muscle atrophy and an attenuated rise in postprandial muscle protein synthesis (MPS): anabolic resistance. Knowing that resistance exercise (RT) can enhance MPS, we examined whether RT could enhance MPS following 2 weeks of SR. In addition, as we postulated that SR may impair feeding-induced vasodilation limiting nutrient delivery to muscle, we also examined whether citrulline (CIT), as an arginine and nitric oxide precursor, could attenuate muscle anabolic resistance accompanying SR. We used a unilateral leg model to compare older subjects' who had undergone SR to a loaded condition of SR plus RT (SR + RT). Thirty older men (70 ± 1 years) underwent 14 days of SR (&lt;1500 steps/day) with supplementation of either 5 g/day CIT or glycine placebo. Throughout SR, subjects performed unilateral low-load RT thrice weekly. We assessed muscle protein synthesis in the postabsorptive and postprandial state (20 g whey isolate plus 15 g glycine or as micellar-whey with 5 g CIT or 15 g glycine, n = 10/group). As MPS was similar after ingestion of either whey isolate, micellar-whey, or micellar-whey + CIT data related to different dietary groups were collapsed to compare SR and SR + RT legs. Subjects' daily steps were reduced by 80 ± 2% during SR (P &lt; 0.001) compared with baseline. Leg fat-free mass decreased with SR (−124 ± 61 g) and increased in the SR + RT (+126 ± 68 g; P = 0.003). Myofibrillar FSR was lower (P &lt; 0.0001) in the SR as compared with the SR + RT leg in the postabsorptive (0.026 ± 0.001%/h vs. 0.045 ± 0.001%/h) and postprandial states (0.055 ± 0.002%/h vs. 0.115 ± 0.003%/h). We conclude that low-load RT, but not supplementation with CIT, can attenuate the deleterious effects of SR in aging muscle.",TEST,26265753,4562579,Low-load resistance training during step-reduction attenuates declines in muscle mass and strength and enhances anabolic sensitivity in older men.,,,,
43,"ABSTRACT.OBJECTIVES.
The optimal treatment of hepatitis C virus (HCV) genotype 6 is unclear owing to its limited geographic distribution. Because of a high predictive value of rapid virological response (RVR) for sustained virological response (SVR), we conducted an open-label randomized controlled trial to compare 24- and 48-week peginterferon/ribavirin combination therapy for patients with HCV genotype 6 in Southern China who achieved an RVR.

ABSTRACT.METHODS AND FINDINGS.
Treatment-naive, non-cirrhotic patients with chronic hepatitis C genotype 6 were treated with pegylated interferon α-2a (180 μg/week) and ribavirin (800–1,200 mg, according to weight) for 4 weeks. Patients who achieved an RVR, which was defined as HCV RNA negativity at week 4 (&lt;50 IU), were randomized to receive either an additional 20 or 44 weeks of treatment (24- and 48-week treatment groups, respectively). The primary outcome measure was SVR. From January 2011 to June 2014, 152(152/210, 72.4%) patients with HCV genotype 6a and RVR were randomized 1:1 to the 24- or 48-week treatment group. The SVR rates in the 24- and 48-week groups in the intention-to-treat analysis were 90.8% (69/76) and 88.2% (67/76), respectively; those in the per-protocol analysis were 95.7% (67/70) and 97.0% (64/66), respectively. More patients in the 48-week group had anemia (46.1% vs. 28.9%, P = 0.03), but other adverse events were comparable between the groups. The limitation of the present study was that only patients from Southern China were enrolled which may inhibit the extensive application of the findings.

ABSTRACT.CONCLUSION.
Twenty-four weeks of peginterferon/ribavirin combination therapy was non-inferior to 48 weeks in patients with HCV genotype 6a in Southern China who achieved an RVR.

ABSTRACT.TRIAL REGISTRATION.
ClinicalTrials.gov NCT01263860",DEV,26509605,4624894,24 versus 48 Weeks of Peginterferon Plus Ribavirin in Hepatitis C Virus Genotype 6 Chronically Infected Patients with a Rapid Virological Response: A Non-Inferiority Randomized Controlled Trial.,Peginterferon alfa-2a plus ribavirin for 24 weeks,sustained virological response (SVR),no significant difference,non-inferiority trial
44,"ABSTRACT.BACKGROUND.
Despite the growing evidence in the literature there is still a lack of consensus regarding the use of minimally invasive surgical technique (MIS) in total knee arthroplasty (TKA).

ABSTRACT.METHODS.
A prospective, randomized, international multicentre trial including 69 patients was performed to compare computer-assisted TKA (CAS-TKA) using either mini-midvastus (MIS group) or standard medial parapatellar approach (conventional group).  Patients from 3 centers (Maastricht, Zwickau, Adelaide) with end-stage osteoarthritis of the knee were randomized to either an MIS group with dedicated instrumentation or a conventional group to receive cruciate retaining CAS-TKA without patella resurfacing. The primary outcome was to compare post operative pain and range of motion (ROM). The secondary outcome was to measure the duration of surgery, blood loss, chair rise test, quadriceps strength, anterior knee pain, Knee Society Score (KSS),WOMAC scores, mechanical leg axis and component alignment.

ABSTRACT.RESULTS.
Patients in the MIS group (3.97 ± 2.16) had significant more pain at 2 weeks than patients in the conventional group (2.77 ± 1.43) p = 0.003. There was no significant difference in any of the other primary outcome parameters. Surgery time was significantly longer (p &lt; 0.001) and there were significantly higher blood loss (p = 0.002) in the MIS group as compared to the conventional group. The difference of the mean mechanical leg alignment between the groups was not statistically significant (–0.43° (95 % CI –1.50 – 0.64); p = 0.43).  There was no significant difference of component alignment between the two surgical groups with respect to flexion/extension (p = 0.269), varus/valgus (p = 0.653) or rotational alignment (p = 0.485) of the femur component and varus valgus alignment (p = 0.778) or posterior slope (p = 0.164) of the tibial component.

ABSTRACT.CONCLUSION.
There was no advantage of the MIS approach compared to a conventional approach CAS-TKA in any of the primary outcome measurements assessed, however the MIS approach was associated with longer surgical time and greater blood loss. MIS-TKA in combination with computer navigation is safe in terms of implant positioning.

ABSTRACT.TRIAL REGISTRATION NUMBER.
ClinicalTrials.gov NCT02625311 8 December 2015",TEST,26762175,4711101,"Computer-assisted total knee arthroplasty using mini midvastus or medial parapatellar approach technique: A prospective, randomized, international multicentre trial.",,,,
